Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block,,,
2025/2/12,Tamban (Indian Sardines),"4,716 kg",90,58.6,160,,,
2025/2/12,Sting Ray,249 Kg,90,58.6,160,,,
2025/2/12,Tanguigue (Spanish Mackerel),279 Kg,290,58.6,160,,,
2025/2/12,Tulingan (Frigate Tuna),473 kg,340,58.6,160,,,
2025/2/13,Alumahan (Striped Mackerel),"1,205 kg",190,58.6,160,,,
2025/2/13,Bangus (Milk Fish),42 kg,190,58.6,160,,,
2025/2/13,Bariles (Yellow Fin Tuna),384 kg,240,58.6,160,,,
2025/2/13,Culisi (Nemipterid),"2,181 kg",113,58.6,160,,,
2025/2/13,Galunggong (Round Scad),975 kg,190,58.6,160,,,
2025/2/13,Gulyasan or puyan (Skipjack tuna),229 kg,190,58.6,160,,,
2025/2/13,Lapu-lapu (Grouper),73 kg,270,58.6,160,,,
2025/2/13,Malasugi (Blue Marlin),829 Kg,290,58.6,160,,,
2025/2/13,Matang Baka (Big-eyed Scads),"1,685 kg",240,58.6,160,,,
2025/2/13,Maya-maya (Snapper),23 kg,340,58.6,160,,,
2025/2/13,Mulmul (Parrot Fish),17 kg,190,58.6,160,,,
2025/2/13,Samaral (Siganid),67 kg,210,58.6,160,,,
2025/2/13,Talakitok (Crevalle),91 kg,270,58.6,160,,,
2025/2/13,Tamban (Indian Sardines),"4,716 kg",90,58.6,160,,,
2025/2/13,Sting Ray,249 Kg,90,58.6,160,,,
2025/2/13,Tanguigue (Spanish Mackerel),279 Kg,290,58.6,160,,,
2025/2/13,Tulingan (Frigate Tuna),473 kg,340,58.6,160,,,
2025/2/14,Alumahan (Striped Mackerel),"1,205 kg",190,58.6,160,,,
2025/2/14,Bangus (Milk Fish),42 kg,190,58.6,160,,,
2025/2/14,Bariles (Yellow Fin Tuna),384 kg,240,58.6,160,,,
2025/2/14,Culisi (Nemipterid),"2,181 kg",113,58.6,160,,,
2025/2/14,Galunggong (Round Scad),975 kg,190,58.6,160,,,
2025/2/14,Gulyasan or puyan (Skipjack tuna),229 kg,190,58.6,160,,,
2025/2/14,Lapu-lapu (Grouper),73 kg,270,58.6,160,,,
2025/2/14,Malasugi (Blue Marlin),829 Kg,290,58.6,160,,,
2025/2/14,Matang Baka (Big-eyed Scads),"1,685 kg",240,58.6,160,,,
2025/2/14,Maya-maya (Snapper),23 kg,340,58.6,160,,,
2025/2/14,Mulmul (Parrot Fish),17 kg,190,58.6,160,,,
2025/2/14,Samaral (Siganid),67 kg,210,58.6,160,,,
2025/2/14,Talakitok (Crevalle),91 kg,270,58.6,160,,,
2025/2/14,Tamban (Indian Sardines),"4,716 kg",90,58.6,160,,,
2025/2/14,Sting Ray,249 Kg,90,58.6,160,,,
2025/2/14,Tanguigue (Spanish Mackerel),279 Kg,290,58.6,160,,,
2025/2/14,Tulingan (Frigate Tuna),473 kg,340,58.6,160,,,
2025/2/15,Alumahan (Striped Mackerel),"1,205 kg",190,58.6,160,,,
2025/2/15,Bangus (Milk Fish),42 kg,190,58.6,160,,,
2025/2/15,Bariles (Yellow Fin Tuna),384 kg,240,58.6,160,,,
2025/2/15,Culisi (Nemipterid),"2,181 kg",113,58.6,160,,,
2025/2/15,Galunggong (Round Scad),975 kg,190,58.6,160,,,
2025/2/15,Gulyasan or puyan (Skipjack tuna),229 kg,190,58.6,160,,,
2025/2/15,Lapu-lapu (Grouper),73 kg,270,58.6,160,,,
2025/2/15,Malasugi (Blue Marlin),829 Kg,290,58.6,160,,,
2025/2/15,Matang Baka (Big-eyed Scads),"1,685 kg",240,58.6,160,,,
2025/2/15,Maya-maya (Snapper),23 kg,340,58.6,160,,,
2025/2/15,Mulmul (Parrot Fish),17 kg,190,58.6,160,,,
2025/2/15,Samaral (Siganid),67 kg,210,58.6,160,,,
2025/2/15,Talakitok (Crevalle),91 kg,270,58.6,160,,,
2025/2/15,Tamban (Indian Sardines),"4,716 kg",90,58.6,160,,,
2025/2/15,Sting Ray,249 Kg,90,58.6,160,,,
2025/2/15,Tanguigue (Spanish Mackerel),279 Kg,290,58.6,160,,,
2025/2/15,Tulingan (Frigate Tuna),473 kg,340,58.6,160,,,
2025/2/16,Alumahan (Striped Mackerel),"1,205 kg",200,58.6,160,,,
2025/2/16,Bangus (Milk Fish),42 kg,200,58.6,160,,,
2025/2/16,Bariles (Yellow Fin Tuna),384 kg,250,58.6,160,,,
2025/2/16,Culisi (Nemipterid),"2,181 kg",123,58.6,160,,,
2025/2/16,Galunggong (Round Scad),975 kg,200,58.6,160,,,
2025/2/16,Gulyasan or puyan (Skipjack tuna),229 kg,200,58.6,160,,,
2025/2/16,Lapu-lapu (Grouper),73 kg,280,58.6,160,,,
2025/2/16,Malasugi (Blue Marlin),829 Kg,300,58.6,160,,,
2025/2/16,Matang Baka (Big-eyed Scads),"1,685 kg",250,58.6,160,,,
2025/2/16,Maya-maya (Snapper),23 kg,350,58.6,160,,,
2025/2/16,Mulmul (Parrot Fish),17 kg,200,58.6,160,,,
2025/2/16,Samaral (Siganid),67 kg,220,58.6,160,,,
2025/2/16,Talakitok (Crevalle),91 kg,280,58.6,160,,,
2025/2/16,Tamban (Indian Sardines),"4,716 kg",100,58.6,160,,,
2025/2/16,Sting Ray,249 Kg,100,58.6,160,,,
2025/2/16,Tanguigue (Spanish Mackerel),279 Kg,300,58.6,160,,,
2025/2/16,Tulingan (Frigate Tuna),473 kg,350,58.6,160,,,
2025/2/17,Alumahan (Striped Mackerel),"1,205 kg",200,58.6,160,,,
2025/2/17,Bangus (Milk Fish),42 kg,200,58.6,160,,,
2025/2/17,Bariles (Yellow Fin Tuna),384 kg,250,58.6,160,,,
2025/2/17,Culisi (Nemipterid),"2,181 kg",123,58.6,160,,,
2025/2/17,Galunggong (Round Scad),975 kg,200,58.6,160,,,
2025/2/17,Gulyasan or puyan (Skipjack tuna),229 kg,200,58.6,160,,,
2025/2/17,Lapu-lapu (Grouper),73 kg,280,58.6,160,,,
2025/2/17,Malasugi (Blue Marlin),829 Kg,300,58.6,160,,,
2025/2/17,Matang Baka (Big-eyed Scads),"1,685 kg",250,58.6,160,,,
2025/2/17,Maya-maya (Snapper),23 kg,350,58.6,160,,,
2025/2/17,Mulmul (Parrot Fish),17 kg,200,58.6,160,,,
2025/2/17,Samaral (Siganid),67 kg,220,58.6,160,,,
2025/2/17,Talakitok (Crevalle),91 kg,280,58.6,160,,,
2025/2/17,Tamban (Indian Sardines),"4,716 kg",100,58.6,160,,,
2025/2/17,Sting Ray,249 Kg,100,58.6,160,,,
2025/2/17,Tanguigue (Spanish Mackerel),279 Kg,300,58.6,160,,,
2025/2/17,Tulingan (Frigate Tuna),473 kg,350,58.6,160,,,
2025/2/18,Alumahan (Striped Mackerel),"1,205 kg",200,57.4,160,,,
2025/2/18,Bangus (Milk Fish),42 kg,200,57.4,160,,,
2025/2/18,Bariles (Yellow Fin Tuna),384 kg,250,57.4,160,,,
2025/2/18,Culisi (Nemipterid),"2,181 kg",123,57.4,160,,,
2025/2/18,Galunggong (Round Scad),975 kg,200,57.4,160,,,
2025/2/18,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.4,160,,,
2025/2/18,Lapu-lapu (Grouper),73 kg,280,57.4,160,,,
2025/2/18,Malasugi (Blue Marlin),829 Kg,300,57.4,160,,,
2025/2/18,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.4,160,,,
2025/2/18,Maya-maya (Snapper),23 kg,350,57.4,160,,,
2025/2/18,Mulmul (Parrot Fish),17 kg,200,57.4,160,,,
2025/2/18,Samaral (Siganid),67 kg,220,57.4,160,,,
2025/2/18,Talakitok (Crevalle),91 kg,280,57.4,160,,,
2025/2/18,Tamban (Indian Sardines),"4,716 kg",100,57.4,160,,,
2025/2/18,Sting Ray,249 Kg,100,57.4,160,,,
2025/2/18,Tanguigue (Spanish Mackerel),279 Kg,300,57.4,160,,,
2025/2/18,Tulingan (Frigate Tuna),473 kg,350,57.4,160,,,
2025/2/19,Alumahan (Striped Mackerel),"1,205 kg",200,57.4,160,,,
2025/2/19,Bangus (Milk Fish),42 kg,200,57.4,160,,,
2025/2/19,Bariles (Yellow Fin Tuna),384 kg,250,57.4,160,,,
2025/2/19,Culisi (Nemipterid),"2,181 kg",123,57.4,160,,,
2025/2/19,Galunggong (Round Scad),975 kg,200,57.4,160,,,
2025/2/19,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.4,160,,,
2025/2/19,Lapu-lapu (Grouper),73 kg,280,57.4,160,,,
2025/2/19,Malasugi (Blue Marlin),829 Kg,300,57.4,160,,,
2025/2/19,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.4,160,,,
2025/2/19,Maya-maya (Snapper),23 kg,350,57.4,160,,,
2025/2/19,Mulmul (Parrot Fish),17 kg,200,57.4,160,,,
2025/2/19,Samaral (Siganid),67 kg,220,57.4,160,,,
2025/2/19,Talakitok (Crevalle),91 kg,280,57.4,160,,,
2025/2/19,Tamban (Indian Sardines),"4,716 kg",100,57.4,160,,,
2025/2/19,Sting Ray,249 Kg,100,57.4,160,,,
2025/2/19,Tanguigue (Spanish Mackerel),279 Kg,300,57.4,160,,,
2025/2/19,Tulingan (Frigate Tuna),473 kg,350,57.4,160,,,
2025/2/20,Alumahan (Striped Mackerel),"1,205 kg",200,57.4,160,,,
2025/2/20,Bangus (Milk Fish),42 kg,200,57.4,160,,,
2025/2/20,Bariles (Yellow Fin Tuna),384 kg,250,57.4,160,,,
2025/2/20,Culisi (Nemipterid),"2,181 kg",123,57.4,160,,,
2025/2/20,Galunggong (Round Scad),975 kg,200,57.4,160,,,
2025/2/20,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.4,160,,,
2025/2/20,Lapu-lapu (Grouper),73 kg,280,57.4,160,,,
2025/2/20,Malasugi (Blue Marlin),829 Kg,300,57.4,160,,,
2025/2/20,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.4,160,,,
2025/2/20,Maya-maya (Snapper),23 kg,350,57.4,160,,,
2025/2/20,Mulmul (Parrot Fish),17 kg,200,57.4,160,,,
2025/2/20,Samaral (Siganid),67 kg,220,57.4,160,,,
2025/2/20,Talakitok (Crevalle),91 kg,280,57.4,160,,,
2025/2/20,Tamban (Indian Sardines),"4,716 kg",100,57.4,160,,,
2025/2/20,Sting Ray,249 Kg,100,57.4,160,,,
2025/2/20,Tanguigue (Spanish Mackerel),279 Kg,300,57.4,160,,,
2025/2/20,Tulingan (Frigate Tuna),473 kg,350,57.4,160,,,
2025/2/21,Alumahan (Striped Mackerel),"1,205 kg",210,57.4,160,,,
2025/2/21,Bangus (Milk Fish),42 kg,210,57.4,160,,,
2025/2/21,Bariles (Yellow Fin Tuna),384 kg,260,57.4,160,,,
2025/2/21,Culisi (Nemipterid),"2,181 kg",133,57.4,160,,,
2025/2/21,Galunggong (Round Scad),975 kg,210,57.4,160,,,
2025/2/21,Gulyasan or puyan (Skipjack tuna),229 kg,210,57.4,160,,,
2025/2/21,Lapu-lapu (Grouper),73 kg,290,57.4,160,,,
2025/2/21,Malasugi (Blue Marlin),829 Kg,310,57.4,160,,,
2025/2/21,Matang Baka (Big-eyed Scads),"1,685 kg",260,57.4,160,,,
2025/2/21,Maya-maya (Snapper),23 kg,360,57.4,160,,,
2025/2/21,Mulmul (Parrot Fish),17 kg,210,57.4,160,,,
2025/2/21,Samaral (Siganid),67 kg,230,57.4,160,,,
2025/2/21,Talakitok (Crevalle),91 kg,290,57.4,160,,,
2025/2/21,Tamban (Indian Sardines),"4,716 kg",110,57.4,160,,,
2025/2/21,Sting Ray,249 Kg,110,57.4,160,,,
2025/2/21,Tanguigue (Spanish Mackerel),279 Kg,310,57.4,160,,,
2025/2/21,Tulingan (Frigate Tuna),473 kg,360,57.4,160,,,
2025/2/22,Alumahan (Striped Mackerel),"1,205 kg",210,57.4,160,,,
2025/2/22,Bangus (Milk Fish),42 kg,210,57.4,160,,,
2025/2/22,Bariles (Yellow Fin Tuna),384 kg,260,57.4,160,,,
2025/2/22,Culisi (Nemipterid),"2,181 kg",133,57.4,160,,,
2025/2/22,Galunggong (Round Scad),975 kg,210,57.4,160,,,
2025/2/22,Gulyasan or puyan (Skipjack tuna),229 kg,210,57.4,160,,,
2025/2/22,Lapu-lapu (Grouper),73 kg,290,57.4,160,,,
2025/2/22,Malasugi (Blue Marlin),829 Kg,310,57.4,160,,,
2025/2/22,Matang Baka (Big-eyed Scads),"1,685 kg",260,57.4,160,,,
2025/2/22,Maya-maya (Snapper),23 kg,360,57.4,160,,,
2025/2/22,Mulmul (Parrot Fish),17 kg,210,57.4,160,,,
2025/2/22,Samaral (Siganid),67 kg,230,57.4,160,,,
2025/2/22,Talakitok (Crevalle),91 kg,290,57.4,160,,,
2025/2/22,Tamban (Indian Sardines),"4,716 kg",110,57.4,160,,,
2025/2/22,Sting Ray,249 Kg,110,57.4,160,,,
2025/2/22,Tanguigue (Spanish Mackerel),279 Kg,310,57.4,160,,,
2025/2/22,Tulingan (Frigate Tuna),473 kg,360,57.4,160,,,
2025/2/23,Alumahan (Striped Mackerel),"1,205 kg",210,57.4,160,,,
2025/2/23,Bangus (Milk Fish),42 kg,210,57.4,160,,,
2025/2/23,Bariles (Yellow Fin Tuna),384 kg,260,57.4,160,,,
2025/2/23,Culisi (Nemipterid),"2,181 kg",133,57.4,160,,,
2025/2/23,Galunggong (Round Scad),975 kg,210,57.4,160,,,
2025/2/23,Gulyasan or puyan (Skipjack tuna),229 kg,210,57.4,160,,,
2025/2/23,Lapu-lapu (Grouper),73 kg,290,57.4,160,,,
2025/2/23,Malasugi (Blue Marlin),829 Kg,310,57.4,160,,,
2025/2/23,Matang Baka (Big-eyed Scads),"1,685 kg",260,57.4,160,,,
2025/2/23,Maya-maya (Snapper),23 kg,360,57.4,160,,,
2025/2/23,Mulmul (Parrot Fish),17 kg,210,57.4,160,,,
2025/2/23,Samaral (Siganid),67 kg,230,57.4,160,,,
2025/2/23,Talakitok (Crevalle),91 kg,290,57.4,160,,,
2025/2/23,Tamban (Indian Sardines),"4,716 kg",110,57.4,160,,,
2025/2/23,Sting Ray,249 Kg,110,57.4,160,,,
2025/2/23,Tanguigue (Spanish Mackerel),279 Kg,310,57.4,160,,,
2025/2/23,Tulingan (Frigate Tuna),473 kg,360,57.4,160,,,
2025/2/24,Alumahan (Striped Mackerel),"1,205 kg",210,57.4,160,,,
2025/2/24,Bangus (Milk Fish),42 kg,210,57.4,160,,,
2025/2/24,Bariles (Yellow Fin Tuna),384 kg,260,57.4,160,,,
2025/2/24,Culisi (Nemipterid),"2,181 kg",133,57.4,160,,,
2025/2/24,Galunggong (Round Scad),975 kg,210,57.4,160,,,
2025/2/24,Gulyasan or puyan (Skipjack tuna),229 kg,210,57.4,160,,,
2025/2/24,Lapu-lapu (Grouper),73 kg,290,57.4,160,,,
2025/2/24,Malasugi (Blue Marlin),829 Kg,310,57.4,160,,,
2025/2/24,Matang Baka (Big-eyed Scads),"1,685 kg",260,57.4,160,,,
2025/2/24,Maya-maya (Snapper),23 kg,360,57.4,160,,,
2025/2/24,Mulmul (Parrot Fish),17 kg,210,57.4,160,,,
2025/2/24,Samaral (Siganid),67 kg,230,57.4,160,,,
2025/2/24,Talakitok (Crevalle),91 kg,290,57.4,160,,,
2025/2/24,Tamban (Indian Sardines),"4,716 kg",110,57.4,160,,,
2025/2/24,Sting Ray,249 Kg,110,57.4,160,,,
2025/2/24,Tanguigue (Spanish Mackerel),279 Kg,310,57.4,160,,,
2025/2/24,Tulingan (Frigate Tuna),473 kg,360,57.4,160,,,
2025/2/25,Alumahan (Striped Mackerel),"1,205 kg",210,57.8,160,,,
2025/2/25,Bangus (Milk Fish),42 kg,210,57.8,160,,,
2025/2/25,Bariles (Yellow Fin Tuna),384 kg,260,57.8,160,,,
2025/2/25,Culisi (Nemipterid),"2,181 kg",133,57.8,160,,,
2025/2/25,Galunggong (Round Scad),975 kg,210,57.8,160,,,
2025/2/25,Gulyasan or puyan (Skipjack tuna),229 kg,210,57.8,160,,,
2025/2/25,Lapu-lapu (Grouper),73 kg,290,57.8,160,,,
2025/2/25,Malasugi (Blue Marlin),829 Kg,310,57.8,160,,,
2025/2/25,Matang Baka (Big-eyed Scads),"1,685 kg",260,57.8,160,,,
2025/2/25,Maya-maya (Snapper),23 kg,360,57.8,160,,,
2025/2/25,Mulmul (Parrot Fish),17 kg,210,57.8,160,,,
2025/2/25,Samaral (Siganid),67 kg,230,57.8,160,,,
2025/2/25,Talakitok (Crevalle),91 kg,290,57.8,160,,,
2025/2/25,Tamban (Indian Sardines),"4,716 kg",110,57.8,160,,,
2025/2/25,Sting Ray,249 Kg,110,57.8,160,,,
2025/2/25,Tanguigue (Spanish Mackerel),279 Kg,310,57.8,160,,,
2025/2/25,Tulingan (Frigate Tuna),473 kg,360,57.8,160,,,
2025/2/26,Alumahan (Striped Mackerel),"1,205 kg",190,57.8,160,,,
2025/2/26,Bangus (Milk Fish),42 kg,190,57.8,160,,,
2025/2/26,Bariles (Yellow Fin Tuna),384 kg,240,57.8,160,,,
2025/2/26,Culisi (Nemipterid),"2,181 kg",113,57.8,160,,,
2025/2/26,Galunggong (Round Scad),975 kg,190,57.8,160,,,
2025/2/26,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.8,160,,,
2025/2/26,Lapu-lapu (Grouper),73 kg,270,57.8,160,,,
2025/2/26,Malasugi (Blue Marlin),829 Kg,290,57.8,160,,,
2025/2/26,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.8,160,,,
2025/2/26,Maya-maya (Snapper),23 kg,340,57.8,160,,,
2025/2/26,Mulmul (Parrot Fish),17 kg,190,57.8,160,,,
2025/2/26,Samaral (Siganid),67 kg,210,57.8,160,,,
2025/2/26,Talakitok (Crevalle),91 kg,270,57.8,160,,,
2025/2/26,Tamban (Indian Sardines),"4,716 kg",90,57.8,160,,,
2025/2/26,Sting Ray,249 Kg,90,57.8,160,,,
2025/2/26,Tanguigue (Spanish Mackerel),279 Kg,290,57.8,160,,,
2025/2/26,Tulingan (Frigate Tuna),473 kg,340,57.8,160,,,
2025/2/27,Alumahan (Striped Mackerel),"1,205 kg",190,57.8,160,,,
2025/2/27,Bangus (Milk Fish),42 kg,190,57.8,160,,,
2025/2/27,Bariles (Yellow Fin Tuna),384 kg,240,57.8,160,,,
2025/2/27,Culisi (Nemipterid),"2,181 kg",113,57.8,160,,,
2025/2/27,Galunggong (Round Scad),975 kg,190,57.8,160,,,
2025/2/27,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.8,160,,,
2025/2/27,Lapu-lapu (Grouper),73 kg,270,57.8,160,,,
2025/2/27,Malasugi (Blue Marlin),829 Kg,290,57.8,160,,,
2025/2/27,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.8,160,,,
2025/2/27,Maya-maya (Snapper),23 kg,340,57.8,160,,,
2025/2/27,Mulmul (Parrot Fish),17 kg,190,57.8,160,,,
2025/2/27,Samaral (Siganid),67 kg,210,57.8,160,,,
2025/2/27,Talakitok (Crevalle),91 kg,270,57.8,160,,,
2025/2/27,Tamban (Indian Sardines),"4,716 kg",90,57.8,160,,,
2025/2/27,Sting Ray,249 Kg,90,57.8,160,,,
2025/2/27,Tanguigue (Spanish Mackerel),279 Kg,290,57.8,160,,,
2025/2/27,Tulingan (Frigate Tuna),473 kg,340,57.8,160,,,
2025/2/28,Alumahan (Striped Mackerel),"1,205 kg",190,57.8,160,,,
2025/2/28,Bangus (Milk Fish),42 kg,190,57.8,160,,,
2025/2/28,Bariles (Yellow Fin Tuna),384 kg,240,57.8,160,,,
2025/2/28,Culisi (Nemipterid),"2,181 kg",113,57.8,160,,,
2025/2/28,Galunggong (Round Scad),975 kg,190,57.8,160,,,
2025/2/28,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.8,160,,,
2025/2/28,Lapu-lapu (Grouper),73 kg,270,57.8,160,,,
2025/2/28,Malasugi (Blue Marlin),829 Kg,290,57.8,160,,,
2025/2/28,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.8,160,,,
2025/2/28,Maya-maya (Snapper),23 kg,340,57.8,160,,,
2025/2/28,Mulmul (Parrot Fish),17 kg,190,57.8,160,,,
2025/2/28,Samaral (Siganid),67 kg,210,57.8,160,,,
2025/2/28,Talakitok (Crevalle),91 kg,270,57.8,160,,,
2025/2/28,Tamban (Indian Sardines),"4,716 kg",90,57.8,160,,,
2025/2/28,Sting Ray,249 Kg,90,57.8,160,,,
2025/2/28,Tanguigue (Spanish Mackerel),279 Kg,290,57.8,160,,,
2025/2/28,Tulingan (Frigate Tuna),473 kg,340,57.8,160,,,
2025/3/1,Alumahan (Striped Mackerel),"1,205 kg",200,57.8,160,,,
2025/3/1,Bangus (Milk Fish),42 kg,200,57.8,160,,,
2025/3/1,Bariles (Yellow Fin Tuna),384 kg,250,57.8,160,,,
2025/3/1,Culisi (Nemipterid),"2,181 kg",123,57.8,160,,,
2025/3/1,Galunggong (Round Scad),975 kg,200,57.8,160,,,
2025/3/1,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.8,160,,,
2025/3/1,Lapu-lapu (Grouper),73 kg,280,57.8,160,,,
2025/3/1,Malasugi (Blue Marlin),829 Kg,300,57.8,160,,,
2025/3/1,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.8,160,,,
2025/3/1,Maya-maya (Snapper),23 kg,350,57.8,160,,,
2025/3/1,Mulmul (Parrot Fish),17 kg,200,57.8,160,,,
2025/3/1,Samaral (Siganid),67 kg,220,57.8,160,,,
2025/3/1,Talakitok (Crevalle),91 kg,280,57.8,160,,,
2025/3/1,Tamban (Indian Sardines),"4,716 kg",100,57.8,160,,,
2025/3/1,Sting Ray,249 Kg,100,57.8,160,,,
2025/3/1,Tanguigue (Spanish Mackerel),279 Kg,300,57.8,160,,,
2025/3/1,Tulingan (Frigate Tuna),473 kg,350,57.8,160,,,
2025/3/2,Alumahan (Striped Mackerel),"1,205 kg",200,57.8,160,,,
2025/3/2,Bangus (Milk Fish),42 kg,200,57.8,160,,,
2025/3/2,Bariles (Yellow Fin Tuna),384 kg,250,57.8,160,,,
2025/3/2,Culisi (Nemipterid),"2,181 kg",123,57.8,160,,,
2025/3/2,Galunggong (Round Scad),975 kg,200,57.8,160,,,
2025/3/2,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.8,160,,,
2025/3/2,Lapu-lapu (Grouper),73 kg,280,57.8,160,,,
2025/3/2,Malasugi (Blue Marlin),829 Kg,300,57.8,160,,,
2025/3/2,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.8,160,,,
2025/3/2,Maya-maya (Snapper),23 kg,350,57.8,160,,,
2025/3/2,Mulmul (Parrot Fish),17 kg,200,57.8,160,,,
2025/3/2,Samaral (Siganid),67 kg,220,57.8,160,,,
2025/3/2,Talakitok (Crevalle),91 kg,280,57.8,160,,,
2025/3/2,Tamban (Indian Sardines),"4,716 kg",100,57.8,160,,,
2025/3/2,Sting Ray,249 Kg,100,57.8,160,,,
2025/3/2,Tanguigue (Spanish Mackerel),279 Kg,300,57.8,160,,,
2025/3/2,Tulingan (Frigate Tuna),473 kg,350,57.8,160,,,
2025/3/3,Alumahan (Striped Mackerel),"1,205 kg",200,57.8,160,,,
2025/3/3,Bangus (Milk Fish),42 kg,200,57.8,160,,,
2025/3/3,Bariles (Yellow Fin Tuna),384 kg,250,57.8,160,,,
2025/3/3,Culisi (Nemipterid),"2,181 kg",123,57.8,160,,,
2025/3/3,Galunggong (Round Scad),975 kg,200,57.8,160,,,
2025/3/3,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.8,160,,,
2025/3/3,Lapu-lapu (Grouper),73 kg,280,57.8,160,,,
2025/3/3,Malasugi (Blue Marlin),829 Kg,300,57.8,160,,,
2025/3/3,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.8,160,,,
2025/3/3,Maya-maya (Snapper),23 kg,350,57.8,160,,,
2025/3/3,Mulmul (Parrot Fish),17 kg,200,57.8,160,,,
2025/3/3,Samaral (Siganid),67 kg,220,57.8,160,,,
2025/3/3,Talakitok (Crevalle),91 kg,280,57.8,160,,,
2025/3/3,Tamban (Indian Sardines),"4,716 kg",100,57.8,160,,,
2025/3/3,Sting Ray,249 Kg,100,57.8,160,,,
2025/3/3,Tanguigue (Spanish Mackerel),279 Kg,300,57.8,160,,,
2025/3/3,Tulingan (Frigate Tuna),473 kg,350,57.8,160,,,
2025/3/4,Alumahan (Striped Mackerel),"1,205 kg",200,55.65,160,,,
2025/3/4,Bangus (Milk Fish),42 kg,200,55.65,160,,,
2025/3/4,Bariles (Yellow Fin Tuna),384 kg,250,55.65,160,,,
2025/3/4,Culisi (Nemipterid),"2,181 kg",123,55.65,160,,,
2025/3/4,Galunggong (Round Scad),975 kg,200,55.65,160,,,
2025/3/4,Gulyasan or puyan (Skipjack tuna),229 kg,200,55.65,160,,,
2025/3/4,Lapu-lapu (Grouper),73 kg,280,55.65,160,,,
2025/3/4,Malasugi (Blue Marlin),829 Kg,300,55.65,160,,,
2025/3/4,Matang Baka (Big-eyed Scads),"1,685 kg",250,55.65,160,,,
2025/3/4,Maya-maya (Snapper),23 kg,350,55.65,160,,,
2025/3/4,Mulmul (Parrot Fish),17 kg,200,55.65,160,,,
2025/3/4,Samaral (Siganid),67 kg,220,55.65,160,,,
2025/3/4,Talakitok (Crevalle),91 kg,280,55.65,160,,,
2025/3/4,Tamban (Indian Sardines),"4,716 kg",100,55.65,160,,,
2025/3/4,Sting Ray,249 Kg,100,55.65,160,,,
2025/3/4,Tanguigue (Spanish Mackerel),279 Kg,300,55.65,160,,,
2025/3/4,Tulingan (Frigate Tuna),473 kg,350,55.65,160,,,
2025/3/5,Alumahan (Striped Mackerel),"1,205 kg",200,55.65,160,,,
2025/3/5,Bangus (Milk Fish),42 kg,200,55.65,160,,,
2025/3/5,Bariles (Yellow Fin Tuna),384 kg,250,55.65,160,,,
2025/3/5,Culisi (Nemipterid),"2,181 kg",123,55.65,160,,,
2025/3/5,Galunggong (Round Scad),975 kg,200,55.65,160,,,
2025/3/5,Gulyasan or puyan (Skipjack tuna),229 kg,200,55.65,160,,,
2025/3/5,Lapu-lapu (Grouper),73 kg,280,55.65,160,,,
2025/3/5,Malasugi (Blue Marlin),829 Kg,300,55.65,160,,,
2025/3/5,Matang Baka (Big-eyed Scads),"1,685 kg",250,55.65,160,,,
2025/3/5,Maya-maya (Snapper),23 kg,350,55.65,160,,,
2025/3/5,Mulmul (Parrot Fish),17 kg,200,55.65,160,,,
2025/3/5,Samaral (Siganid),67 kg,220,55.65,160,,,
2025/3/5,Talakitok (Crevalle),91 kg,280,55.65,160,,,
2025/3/5,Tamban (Indian Sardines),"4,716 kg",100,55.65,160,,,
2025/3/5,Sting Ray,249 Kg,100,55.65,160,,,
2025/3/5,Tanguigue (Spanish Mackerel),279 Kg,300,55.65,160,,,
2025/3/5,Tulingan (Frigate Tuna),473 kg,350,55.65,160,,,
2025/3/6,Alumahan (Striped Mackerel),"1,205 kg",210,55.65,160,,,
2025/3/6,Bangus (Milk Fish),42 kg,210,55.65,160,,,
2025/3/6,Bariles (Yellow Fin Tuna),384 kg,260,55.65,160,,,
2025/3/6,Culisi (Nemipterid),"2,181 kg",133,55.65,160,,,
2025/3/6,Galunggong (Round Scad),975 kg,210,55.65,160,,,
2025/3/6,Gulyasan or puyan (Skipjack tuna),229 kg,210,55.65,160,,,
2025/3/6,Lapu-lapu (Grouper),73 kg,290,55.65,160,,,
2025/3/6,Malasugi (Blue Marlin),829 Kg,310,55.65,160,,,
2025/3/6,Matang Baka (Big-eyed Scads),"1,685 kg",260,55.65,160,,,
