Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block,,,
2025/1/7,Sting Ray,249 Kg,110,56.75,160,,,
2025/1/7,Tanguigue (Spanish Mackerel),279 Kg,310,56.75,160,,,
2025/1/7,Tulingan (Frigate Tuna),473 kg,360,56.75,160,,,
2025/1/8,Alumahan (Striped Mackerel),"1,205 kg",210,56.75,160,,,
2025/1/8,Bangus (Milk Fish),42 kg,210,56.75,160,,,
2025/1/8,Bariles (Yellow Fin Tuna),384 kg,260,56.75,160,,,
2025/1/8,Culisi (Nemipterid),"2,181 kg",133,56.75,160,,,
2025/1/8,Galunggong (Round Scad),975 kg,210,56.75,160,,,
2025/1/8,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.75,160,,,
2025/1/8,Lapu-lapu (Grouper),73 kg,290,56.75,160,,,
2025/1/8,Malasugi (Blue Marlin),829 Kg,310,56.75,160,,,
2025/1/8,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.75,160,,,
2025/1/8,Maya-maya (Snapper),23 kg,360,56.75,160,,,
2025/1/8,Mulmul (Parrot Fish),17 kg,210,56.75,160,,,
2025/1/8,Samaral (Siganid),67 kg,230,56.75,160,,,
2025/1/8,Talakitok (Crevalle),91 kg,290,56.75,160,,,
2025/1/8,Tamban (Indian Sardines),"4,716 kg",110,56.75,160,,,
2025/1/8,Sting Ray,249 Kg,110,56.75,160,,,
2025/1/8,Tanguigue (Spanish Mackerel),279 Kg,310,56.75,160,,,
2025/1/8,Tulingan (Frigate Tuna),473 kg,360,56.75,160,,,
2025/1/9,Alumahan (Striped Mackerel),"1,205 kg",210,56.75,160,,,
2025/1/9,Bangus (Milk Fish),42 kg,210,56.75,160,,,
2025/1/9,Bariles (Yellow Fin Tuna),384 kg,260,56.75,160,,,
2025/1/9,Culisi (Nemipterid),"2,181 kg",133,56.75,160,,,
2025/1/9,Galunggong (Round Scad),975 kg,210,56.75,160,,,
2025/1/9,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.75,160,,,
2025/1/9,Lapu-lapu (Grouper),73 kg,290,56.75,160,,,
2025/1/9,Malasugi (Blue Marlin),829 Kg,310,56.75,160,,,
2025/1/9,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.75,160,,,
2025/1/9,Maya-maya (Snapper),23 kg,360,56.75,160,,,
2025/1/9,Mulmul (Parrot Fish),17 kg,210,56.75,160,,,
2025/1/9,Samaral (Siganid),67 kg,230,56.75,160,,,
2025/1/9,Talakitok (Crevalle),91 kg,290,56.75,160,,,
2025/1/9,Tamban (Indian Sardines),"4,716 kg",110,56.75,160,,,
2025/1/9,Sting Ray,249 Kg,110,56.75,160,,,
2025/1/9,Tanguigue (Spanish Mackerel),279 Kg,310,56.75,160,,,
2025/1/9,Tulingan (Frigate Tuna),473 kg,360,56.75,160,,,
2025/1/10,Alumahan (Striped Mackerel),"1,205 kg",210,56.75,160,,,
2025/1/10,Bangus (Milk Fish),42 kg,210,56.75,160,,,
2025/1/10,Bariles (Yellow Fin Tuna),384 kg,260,56.75,160,,,
2025/1/10,Culisi (Nemipterid),"2,181 kg",133,56.75,160,,,
2025/1/10,Galunggong (Round Scad),975 kg,210,56.75,160,,,
2025/1/10,Gulyasan or puyan (Skipjack tuna),229 kg,210,56.75,160,,,
2025/1/10,Lapu-lapu (Grouper),73 kg,290,56.75,160,,,
2025/1/10,Malasugi (Blue Marlin),829 Kg,310,56.75,160,,,
2025/1/10,Matang Baka (Big-eyed Scads),"1,685 kg",260,56.75,160,,,
2025/1/10,Maya-maya (Snapper),23 kg,360,56.75,160,,,
2025/1/10,Mulmul (Parrot Fish),17 kg,210,56.75,160,,,
2025/1/10,Samaral (Siganid),67 kg,230,56.75,160,,,
2025/1/10,Talakitok (Crevalle),91 kg,290,56.75,160,,,
2025/1/10,Tamban (Indian Sardines),"4,716 kg",110,56.75,160,,,
2025/1/10,Sting Ray,249 Kg,110,56.75,160,,,
2025/1/10,Tanguigue (Spanish Mackerel),279 Kg,310,56.75,160,,,
2025/1/10,Tulingan (Frigate Tuna),473 kg,360,56.75,160,,,
2025/1/11,Alumahan (Striped Mackerel),"1,205 kg",190,56.75,160,,,
2025/1/11,Bangus (Milk Fish),42 kg,190,56.75,160,,,
2025/1/11,Bariles (Yellow Fin Tuna),384 kg,240,56.75,160,,,
2025/1/11,Culisi (Nemipterid),"2,181 kg",113,56.75,160,,,
2025/1/11,Galunggong (Round Scad),975 kg,190,56.75,160,,,
2025/1/11,Gulyasan or puyan (Skipjack tuna),229 kg,190,56.75,160,,,
2025/1/11,Lapu-lapu (Grouper),73 kg,270,56.75,160,,,
2025/1/11,Malasugi (Blue Marlin),829 Kg,290,56.75,160,,,
2025/1/11,Matang Baka (Big-eyed Scads),"1,685 kg",240,56.75,160,,,
2025/1/11,Maya-maya (Snapper),23 kg,340,56.75,160,,,
2025/1/11,Mulmul (Parrot Fish),17 kg,190,56.75,160,,,
2025/1/11,Samaral (Siganid),67 kg,210,56.75,160,,,
2025/1/11,Talakitok (Crevalle),91 kg,270,56.75,160,,,
2025/1/11,Tamban (Indian Sardines),"4,716 kg",90,56.75,160,,,
2025/1/11,Sting Ray,249 Kg,90,56.75,160,,,
2025/1/11,Tanguigue (Spanish Mackerel),279 Kg,290,56.75,160,,,
2025/1/11,Tulingan (Frigate Tuna),473 kg,340,56.75,160,,,
2025/1/12,Alumahan (Striped Mackerel),"1,205 kg",190,56.75,160,,,
2025/1/12,Bangus (Milk Fish),42 kg,190,56.75,160,,,
2025/1/12,Bariles (Yellow Fin Tuna),384 kg,240,56.75,160,,,
2025/1/12,Culisi (Nemipterid),"2,181 kg",113,56.75,160,,,
2025/1/12,Galunggong (Round Scad),975 kg,190,56.75,160,,,
2025/1/12,Gulyasan or puyan (Skipjack tuna),229 kg,190,56.75,160,,,
2025/1/12,Lapu-lapu (Grouper),73 kg,270,56.75,160,,,
2025/1/12,Malasugi (Blue Marlin),829 Kg,290,56.75,160,,,
2025/1/12,Matang Baka (Big-eyed Scads),"1,685 kg",240,56.75,160,,,
2025/1/12,Maya-maya (Snapper),23 kg,340,56.75,160,,,
2025/1/12,Mulmul (Parrot Fish),17 kg,190,56.75,160,,,
2025/1/12,Samaral (Siganid),67 kg,210,56.75,160,,,
2025/1/12,Talakitok (Crevalle),91 kg,270,56.75,160,,,
2025/1/12,Tamban (Indian Sardines),"4,716 kg",90,56.75,160,,,
2025/1/12,Sting Ray,249 Kg,90,56.75,160,,,
2025/1/12,Tanguigue (Spanish Mackerel),279 Kg,290,56.75,160,,,
2025/1/12,Tulingan (Frigate Tuna),473 kg,340,56.75,160,,,
2025/1/13,Alumahan (Striped Mackerel),"1,205 kg",190,56.75,160,,,
2025/1/13,Bangus (Milk Fish),42 kg,190,56.75,160,,,
2025/1/13,Bariles (Yellow Fin Tuna),384 kg,240,56.75,160,,,
2025/1/13,Culisi (Nemipterid),"2,181 kg",113,56.75,160,,,
2025/1/13,Galunggong (Round Scad),975 kg,190,56.75,160,,,
2025/1/13,Gulyasan or puyan (Skipjack tuna),229 kg,190,56.75,160,,,
2025/1/13,Lapu-lapu (Grouper),73 kg,270,56.75,160,,,
2025/1/13,Malasugi (Blue Marlin),829 Kg,290,56.75,160,,,
2025/1/13,Matang Baka (Big-eyed Scads),"1,685 kg",240,56.75,160,,,
2025/1/13,Maya-maya (Snapper),23 kg,340,56.75,160,,,
2025/1/13,Mulmul (Parrot Fish),17 kg,190,56.75,160,,,
2025/1/13,Samaral (Siganid),67 kg,210,56.75,160,,,
2025/1/13,Talakitok (Crevalle),91 kg,270,56.75,160,,,
2025/1/13,Tamban (Indian Sardines),"4,716 kg",90,56.75,160,,,
2025/1/13,Sting Ray,249 Kg,90,56.75,160,,,
2025/1/13,Tanguigue (Spanish Mackerel),279 Kg,290,56.75,160,,,
2025/1/13,Tulingan (Frigate Tuna),473 kg,340,56.75,160,,,
2025/1/14,Alumahan (Striped Mackerel),"1,205 kg",190,57.65,160,,,
2025/1/14,Bangus (Milk Fish),42 kg,190,57.65,160,,,
2025/1/14,Bariles (Yellow Fin Tuna),384 kg,240,57.65,160,,,
2025/1/14,Culisi (Nemipterid),"2,181 kg",113,57.65,160,,,
2025/1/14,Galunggong (Round Scad),975 kg,190,57.65,160,,,
2025/1/14,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.65,160,,,
2025/1/14,Lapu-lapu (Grouper),73 kg,270,57.65,160,,,
2025/1/14,Malasugi (Blue Marlin),829 Kg,290,57.65,160,,,
2025/1/14,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.65,160,,,
2025/1/14,Maya-maya (Snapper),23 kg,340,57.65,160,,,
2025/1/14,Mulmul (Parrot Fish),17 kg,190,57.65,160,,,
2025/1/14,Samaral (Siganid),67 kg,210,57.65,160,,,
2025/1/14,Talakitok (Crevalle),91 kg,270,57.65,160,,,
2025/1/14,Tamban (Indian Sardines),"4,716 kg",90,57.65,160,,,
2025/1/14,Sting Ray,249 Kg,90,57.65,160,,,
2025/1/14,Tanguigue (Spanish Mackerel),279 Kg,290,57.65,160,,,
2025/1/14,Tulingan (Frigate Tuna),473 kg,340,57.65,160,,,
2025/1/15,Alumahan (Striped Mackerel),"1,205 kg",190,57.65,160,,,
2025/1/15,Bangus (Milk Fish),42 kg,190,57.65,160,,,
2025/1/15,Bariles (Yellow Fin Tuna),384 kg,240,57.65,160,,,
2025/1/15,Culisi (Nemipterid),"2,181 kg",113,57.65,160,,,
2025/1/15,Galunggong (Round Scad),975 kg,190,57.65,160,,,
2025/1/15,Gulyasan or puyan (Skipjack tuna),229 kg,190,57.65,160,,,
2025/1/15,Lapu-lapu (Grouper),73 kg,270,57.65,160,,,
2025/1/15,Malasugi (Blue Marlin),829 Kg,290,57.65,160,,,
2025/1/15,Matang Baka (Big-eyed Scads),"1,685 kg",240,57.65,160,,,
2025/1/15,Maya-maya (Snapper),23 kg,340,57.65,160,,,
2025/1/15,Mulmul (Parrot Fish),17 kg,190,57.65,160,,,
2025/1/15,Samaral (Siganid),67 kg,210,57.65,160,,,
2025/1/15,Talakitok (Crevalle),91 kg,270,57.65,160,,,
2025/1/15,Tamban (Indian Sardines),"4,716 kg",90,57.65,160,,,
2025/1/15,Sting Ray,249 Kg,90,57.65,160,,,
2025/1/15,Tanguigue (Spanish Mackerel),279 Kg,290,57.65,160,,,
2025/1/15,Tulingan (Frigate Tuna),473 kg,340,57.65,160,,,
2025/1/16,Alumahan (Striped Mackerel),"1,205 kg",200,57.65,160,,,
2025/1/16,Bangus (Milk Fish),42 kg,200,57.65,160,,,
2025/1/16,Bariles (Yellow Fin Tuna),384 kg,250,57.65,160,,,
2025/1/16,Culisi (Nemipterid),"2,181 kg",123,57.65,160,,,
2025/1/16,Galunggong (Round Scad),975 kg,200,57.65,160,,,
2025/1/16,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.65,160,,,
2025/1/16,Lapu-lapu (Grouper),73 kg,280,57.65,160,,,
2025/1/16,Malasugi (Blue Marlin),829 Kg,300,57.65,160,,,
2025/1/16,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.65,160,,,
2025/1/16,Maya-maya (Snapper),23 kg,350,57.65,160,,,
2025/1/16,Mulmul (Parrot Fish),17 kg,200,57.65,160,,,
2025/1/16,Samaral (Siganid),67 kg,220,57.65,160,,,
2025/1/16,Talakitok (Crevalle),91 kg,280,57.65,160,,,
2025/1/16,Tamban (Indian Sardines),"4,716 kg",100,57.65,160,,,
2025/1/16,Sting Ray,249 Kg,100,57.65,160,,,
2025/1/16,Tanguigue (Spanish Mackerel),279 Kg,300,57.65,160,,,
2025/1/16,Tulingan (Frigate Tuna),473 kg,350,57.65,160,,,
2025/1/17,Alumahan (Striped Mackerel),"1,205 kg",200,57.65,160,,,
2025/1/17,Bangus (Milk Fish),42 kg,200,57.65,160,,,
2025/1/17,Bariles (Yellow Fin Tuna),384 kg,250,57.65,160,,,
2025/1/17,Culisi (Nemipterid),"2,181 kg",123,57.65,160,,,
2025/1/17,Galunggong (Round Scad),975 kg,200,57.65,160,,,
2025/1/17,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.65,160,,,
2025/1/17,Lapu-lapu (Grouper),73 kg,280,57.65,160,,,
2025/1/17,Malasugi (Blue Marlin),829 Kg,300,57.65,160,,,
2025/1/17,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.65,160,,,
2025/1/17,Maya-maya (Snapper),23 kg,350,57.65,160,,,
2025/1/17,Mulmul (Parrot Fish),17 kg,200,57.65,160,,,
2025/1/17,Samaral (Siganid),67 kg,220,57.65,160,,,
2025/1/17,Talakitok (Crevalle),91 kg,280,57.65,160,,,
2025/1/17,Tamban (Indian Sardines),"4,716 kg",100,57.65,160,,,
2025/1/17,Sting Ray,249 Kg,100,57.65,160,,,
2025/1/17,Tanguigue (Spanish Mackerel),279 Kg,300,57.65,160,,,
2025/1/17,Tulingan (Frigate Tuna),473 kg,350,57.65,160,,,
2025/1/18,Alumahan (Striped Mackerel),"1,205 kg",200,57.65,160,,,
2025/1/18,Bangus (Milk Fish),42 kg,200,57.65,160,,,
2025/1/18,Bariles (Yellow Fin Tuna),384 kg,250,57.65,160,,,
2025/1/18,Culisi (Nemipterid),"2,181 kg",123,57.65,160,,,
2025/1/18,Galunggong (Round Scad),975 kg,200,57.65,160,,,
2025/1/18,Gulyasan or puyan (Skipjack tuna),229 kg,200,57.65,160,,,
2025/1/18,Lapu-lapu (Grouper),73 kg,280,57.65,160,,,
2025/1/18,Malasugi (Blue Marlin),829 Kg,300,57.65,160,,,
2025/1/18,Matang Baka (Big-eyed Scads),"1,685 kg",250,57.65,160,,,
2025/1/18,Maya-maya (Snapper),23 kg,350,57.65,160,,,
2025/1/18,Mulmul (Parrot Fish),17 kg,200,57.65,160,,,
2025/1/18,Samaral (Siganid),67 kg,220,57.65,160,,,
2025/1/18,Talakitok (Crevalle),91 kg,280,57.65,160,,,
2025/1/18,Tamban (Indian Sardines),"4,716 kg",100,57.65,160,,,
2025/1/18,Sting Ray,249 Kg,100,57.65,160,,,
2025/1/18,Tanguigue (Spanish Mackerel),279 Kg,300,57.65,160,,,
2025/1/18,Tulingan (Frigate Tuna),473 kg,350,57.65,160,,,
2025/1/19,Alumahan (Striped Mackerel),"1,205 kg",200,57.65,160,,,
