Date,Fish_Type,Supply_Kg,Price_Per_Kg,Fuel_price,Ice_price_per_block
2024/1/16,Bariles (Yellow Fin Tuna),345 Kg,216,59.4,160
2024/1/16,Culisi (Nemipterid),"2,181 Kg",130,59.4,160
2024/1/16,Galunggong (Round Scad),"5,296 Kg",165,59.4,160
2024/1/16,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",190,59.4,160
2024/1/16,Lapu-lapu (Grouper),524 Kg,298,59.4,160
2024/1/16,Malasugi (Blue Marlin),829 Kg,338,59.4,160
2024/1/16,Matang Baka (Big-eyed Scads),"25,066 Kg",199,59.4,160
2024/1/16,Maya-maya (Snapper),484 Kg,325,59.4,160
2024/1/16,Mulmul (Parrot Fish),378 Kg,208,59.4,160
2024/1/16,Samaral (Siganid),596 Kg,275,59.4,160
2024/1/16,Talakitok (Crevalle),"1,233 Kg",260,59.4,160
2024/1/16,Tamban (Indian Sardines),"5,363 Kg",79,59.4,160
2024/1/16,Sting Ray,249 Kg,100,59.4,160
2024/1/16,Tanguigue (Spanish Mackerel),279 Kg,305,59.4,160
2024/1/16,Tulingan (Frigate Tuna),"1,236 Kg",188,59.4,160
2024/1/17,Alumahan (Striped Mackerel),"1,776 Kg",171,59.4,160
2024/1/17,Bangus (Milk Fish),"101,326 Kg",200,59.4,160
2024/1/17,Bariles (Yellow Fin Tuna),345 Kg,217,59.4,160
2024/1/17,Culisi (Nemipterid),"2,181 Kg",130,59.4,160
2024/1/17,Galunggong (Round Scad),"5,296 Kg",162,59.4,160
2024/1/17,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",184,59.4,160
2024/1/17,Lapu-lapu (Grouper),524 Kg,291,59.4,160
2024/1/17,Malasugi (Blue Marlin),829 Kg,338,59.4,160
2024/1/17,Matang Baka (Big-eyed Scads),"25,066 Kg",202,59.4,160
2024/1/17,Maya-maya (Snapper),484 Kg,320,59.4,160
2024/1/17,Mulmul (Parrot Fish),378 Kg,209,59.4,160
2024/1/17,Samaral (Siganid),596 Kg,266,59.4,160
2024/1/17,Talakitok (Crevalle),"1,233 Kg",261,59.4,160
2024/1/17,Tamban (Indian Sardines),"5,363 Kg",79,59.4,160
2024/1/17,Sting Ray,249 Kg,99,59.4,160
2024/1/17,Tanguigue (Spanish Mackerel),279 Kg,304,59.4,160
2024/1/17,Tulingan (Frigate Tuna),"1,236 Kg",188,59.4,160
2024/1/18,Alumahan (Striped Mackerel),"1,776 Kg",170,59.4,160
2024/1/18,Bangus (Milk Fish),"101,326 Kg",202,59.4,160
2024/1/18,Bariles (Yellow Fin Tuna),345 Kg,218,59.4,160
2024/1/18,Culisi (Nemipterid),"2,181 Kg",130,59.4,160
2024/1/18,Galunggong (Round Scad),"5,296 Kg",159,59.4,160
2024/1/18,Gulyasan or puyan (Skipjack tuna),"2,799 Kg",177,59.4,160
2024/1/18,Lapu-lapu (Grouper),524 Kg,285,59.4,160
2024/1/18,Malasugi (Blue Marlin),829 Kg,338,59.4,160
2024/1/18,Matang Baka (Big-eyed Scads),"25,066 Kg",204,59.4,160
2024/1/18,Maya-maya (Snapper),484 Kg,315,59.4,160
2024/1/18,Mulmul (Parrot Fish),378 Kg,210,59.4,160
